l,m,C,S
29,7,-2.143528973645531e-18,-1.8809736555363205e-18
29,8,-4.097578310742202e-19,2.004758110530843e-19
29,9,5.71504101013089e-23,1.9952566689266858e-21
29,10,3.649918217912866e-22,1.451515668833714e-24
29,11,-5.993552387107147e-24,6.607995699956932e-24
29,12,-2.7627558660981584e-26,-1.7202464482250455e-25
29,13,-1.9196436515396137e-27,-3.49573250064359e-27
29,14,-1.5556288731475435e-28,-2.386697040995501e-28
29,15,-1.8657423664651382e-29,-1.3869271885218655e-29
29,16,1.2094670738051829e-32,-1.1507383116114993e-30
29,17,-7.316057139796386e-33,-1.5100602165991267e-32
29,18,-4.792264538309143e-34,-3.8084455889321546e-34
29,19,-3.6481684497035877e-35,4.0036538750648043e-35
29,20,-2.1549484327131148e-36,1.535094774399591e-36
29,21,-1.2457615436549908e-37,-6.428396360198206e-38
29,22,7.250965959243013e-39,-7.668734599736203e-40
29,23,-6.203826146037681e-41,7.198303367441138e-41
29,24,5.693237040523106e-43,-4.075538907275626e-42
29,25,6.416402455168161e-43,9.683213301569796e-43
29,26,5.87368088550645e-44,-5.089090107950108e-44
29,27,-4.454887318281708e-45,-4.0755014405385624e-46
29,28,5.144709579587329e-46,-3.0962205253378333e-46
29,29,9.07223519057482e-47,-3.693248230212051e-47
30,0,4.8862522117977825e-08,0.0
30,1,9.886923371209903e-11,3.9372924011264403e-10
30,2,-1.1844513662865132e-10,-1.3951403998860638e-11
30,3,1.53270576738015e-12,-5.372609274236971e-12
30,4,-2.1504002469689817e-14,-4.851063482064209e-14
30,5,-1.1266336903284642e-15,-2.4281640329400105e-15
30,6,-2.2703511171677556e-18,1.1932419627953788e-17
30,7,1.1453928008981482e-18,1.8251924817356817e-18
30,8,7.538097401115886e-20,5.295582715296088e-20
30,9,-4.4343130157183714e-21,-6.47262567083823e-21
30,10,9.324720463996511e-23,-9.453218993945639e-23
30,11,-6.360743696390817e-24,6.919078746754386e-24
30,12,4.031502663588665e-25,-2.53135099581526e-25
30,13,1.16901428280154e-26,2.5248643832153226e-27
30,14,1.4983417436611288e-28,2.5168708464464856e-28
