l,m,C,S
15,0,-1.251374315311107e-06,0.0
15,1,-4.058110508285536e-07,1.7848595684972098e-07
15,2,-1.7409980129250059e-09,2.4627504524309458e-08
15,3,-2.9614665105862114e-09,-1.3483958538451525e-09
15,4,-1.366890587305577e-10,-1.888339841509684e-10
15,5,6.413519450873367e-14,-8.618149214350615e-12
15,6,-4.429791730840874e-14,-2.2381403364650047e-13
15,7,5.273914078867323e-14,7.008904141915291e-14
15,8,4.565675783240712e-15,6.592999355107868e-15
15,9,-2.1144104929346062e-17,-2.7043132810594107e-16
15,10,-1.2845281029227172e-18,9.274231295568697e-18
15,11,-2.7227356442775167e-18,-2.892211938812777e-18
15,12,-3.266801185766497e-19,-8.913696893106012e-20
15,13,-8.278920252230065e-21,6.173967547159703e-21
15,14,2.170612524744554e-21,1.4957981100979165e-21
15,15,2.63640402918708e-22,3.776599096437699e-22
16,0,3.1960211174465183e-06,0.0
16,1,5.5779112454300796e-08,4.0650473315175576e-07
16,2,4.3654344753196075e-08,2.869234721513422e-10
16,3,-3.535788277876684e-10,9.598064075524687e-10
16,4,7.781540965503828e-11,3.612375642991519e-11
16,5,5.488927041301288e-12,-4.625484373169279e-12
16,6,3.389570017321018e-13,-3.355253499422547e-13
16,7,-8.440875321810106e-15,-1.7776858487811656e-14
16,8,5.0071127901592034e-17,6.642827328844892e-16
16,9,-1.1404229891976531e-16,-1.2079991940799753e-16
16,10,2.452176220273387e-18,3.2916116504438184e-19
16,11,-2.821007681951359e-19,6.558478624899868e-19
16,12,-9.356959429113192e-20,6.579410622788716e-20
16,13,-1.2087386548700207e-21,-1.0854387275383283e-21
16,14,-4.800353328284768e-22,1.2395901449996905e-22
16,15,-3.2235886488205464e-23,-9.105212883762673e-23
16,16,-1.4268032310750735e-23,-1.4643738679889938e-23
17,0,-6.125427643576085e-06,0.0
17,1,2.382204883810643e-07,3.7948001719126407e-08
17,2,-7.911289035249916e-09,-2.3888756771919155e-08
17,3,-4.973880798992851e-11,-8.106175812302209e-10
17,4,1.1838791300654168e-10,1.8838316707156154e-10
17,5,1.0568752591235337e-12,-3.241517622571323e-12
17,6,2.394310450862805e-13,-4.0815196157862314e-13
17,7,-2.6148658963623048e-14,-3.1598583851507e-14
17,8,-2.7520993906696707e-16,-6.138513574816544e-16
17,9,2.6968491808144945e-17,1.1456660699651012e-16
17,10,2.345938499215026e-18,3.525855140238038e-18
17,11,4.648759606639818e-19,-7.997133436424598e-20
17,12,2.964279505641163e-20,5.651397471538878e-21
17,13,-9.405750830935345e-23,-5.604380310567767e-22
17,14,9.079351985510287e-23,6.935703866821228e-23
17,15,-1.3983988498870761e-24,-1.1623729518353947e-23
17,16,-8.952174014480102e-25,-7.258534304280922e-25
17,17,-1.8966069656507833e-25,7.314877449246747e-25
18,0,-3.1758728011518953e-06,0.0
18,1,1.6695386604709762e-07,1.3734460442342435e-08
18,2,-8.030914615709343e-09,-1.8358790038063247e-08
18,3,1.3713797746589642e-09,5.881396839669561e-10
18,4,-6.055263488209573e-11,8.269092040957335e-11
18,5,-2.1802348715224227e-12,3.1085775196905616e-13
18,6,-4.0723601534963343e-13,1.7556854247491466e-13
18,7,-3.0736164388590664e-15,-1.5631196918295216e-14
18,8,3.601643890154428e-16,2.3362237626753204e-16
18,9,2.7457120623255044e-17,-3.1445934648506676e-17
18,10,1.1274814417948836e-18,-1.7114475882574814e-18
18,11,8.723169550059884e-20,-2.667303931492848e-19
18,12,1.1823382524404852e-20,3.326825866297023e-21
18,13,-1.2609508170459032e-21,-1.060436059679763e-22
18,14,5.1631000591928265e-24,-9.280442235466928e-23
18,15,1.7659340790218384e-24,-7.760759392765563e-24
18,16,6.3610873377010245e-25,-1.4883486247332495e-25
18,17,1.0445287725379663e-25,-3.92978459149124e-26
18,18,-2.9138428206090213e-27,-4.0462856117110375e-27
19,0,1.3661488236870573e-06,0.0
19,1,-2.6766351124109764e-07,6.002935478115372e-08
19,2,4.040655822133095e-09,-8.7330195997214e-09
19,3,-7.575581187189028e-10,1.17903241503536e-09
19,4,-6.240000747210556e-11,-6.63918975133037e-11
19,5,-8.774095756675204e-13,4.891880977470124e-12
19,6,2.703337348625253e-14,6.79357398800255e-14
19,7,1.1748851477748396e-14,4.738581646474576e-15
19,8,3.493453494626244e-16,4.660029138807258e-16
19,9,-1.810349607140797e-18,-1.2759258216303334e-17
19,10,-1.399000531077452e-18,-4.1040481355429696e-19
19,11,8.396530666060722e-22,-1.9062300001181713e-20
19,12,-7.699480275079447e-22,-2.036354839259942e-21
19,13,3.397810814400902e-22,1.0314856136938305e-21
19,14,-4.161594091494481e-24,1.7896075896534328e-23
19,15,2.09742526739853e-25,2.082894417020627e-25
19,16,-1.2030423673203514e-26,1.4749602400035467e-25
19,17,-2.171700847354855e-26,-3.836112143933064e-26
19,18,2.669768418813593e-27,-4.4090739055611527e-29
19,19,2.321255582430772e-28,1.4252504282254005e-28
20,0,2.1555759551986596e-06,0.0
20,1,-8.759001409693296e-08,-1.6908535864870813e-07
20,2,1.7495995128398017e-08,7.504401002763437e-11
20,3,6.764123988327806e-10,-2.7934048341326015e-10
20,4,2.449393648975627e-11,-2.56674551101639e-11
20,5,5.836077334858014e-13,-8.042675203085835e-13
20,6,-2.5116613229733624e-14,4.408699832978084e-14
20,7,-4.6278367730804345e-15,-5.0131131349959336e-15
20,8,8.373478965797336e-17,2.399853365262583e-17
20,9,-7.412794187983798e-18,2.0933976487640705e-18
20,10,3.4284178794452005e-19,4.930789446190025e-20
20,11,1.4548877160959255e-20,6.819499232710767e-20
20,12,4.723305444568436e-22,-3.477308327534685e-21
20,13,1.807816732139884e-22,1.3480810218028697e-22
20,14,-2.0260433330000893e-24,1.1839840818121608e-24
20,15,-3.200188032394905e-25,8.992991941500008e-26
20,16,6.756069077167708e-26,-4.391255609877109e-26
20,17,4.7848589754076814e-27,-7.066609946156992e-27
20,18,4.743770661635679e-28,-1.7975289564089644e-29
20,19,-1.3794051939960328e-29,1.928570756794616e-29
20,20,-1.3347312436176893e-30,-3.6019358717489e-30
21,0,-3.687549672718267e-07,0.0
21,1,1.846846339206366e-08,2.3931582496847835e-07
21,2,-2.7455358316657575e-08,-7.761769973770084e-09
21,3,3.2381233341536286e-10,-8.784555264367337e-10
21,4,-3.396000399541086e-11,3.271681014774606e-11
21,5,6.977965887760637e-13,2.0122793203996873e-13
